2025-11-06 13:06:35,238 - DISCOVERED | https://www.duoc.cl/escuela/comunicacion/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,238 - DISCOVERED | https://www.duoc.cl/admision/especial/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,238 - DISCOVERED | https://www.duoc.cl/oferta-academica/cursos-diplomados/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,238 - DISCOVERED | https://www.duoc.cl/duoconline/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,239 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/transparencia/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,239 - DISCOVERED | https://www.duoc.cl/escuela/informatica-telecomunicaciones/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,239 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/innovacion-emprendimiento/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,239 - DISCOVERED | https://www.duoc.cl/portal-de-pago/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/uvs/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/redes-sociales/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/convivenciaeinclusion/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/nosotros/calidad-acreditacion/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/deportes/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/kit-digital/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,240 - DISCOVERED | https://www.duoc.cl/nosotros/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl/admision/preguntas-frecuentes/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl/folleto-financiamiento/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/estrategia-de-apoyo-a-los-estudiantes/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl/bienvenida-duoc-online/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl/escuela/ingenieria-recursos-naturales/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,241 - DISCOVERED | https://www.duoc.cl/escuela/administracion-negocios/ | Source: https://www.duoc.cl/admision/ | Depth: 1
2025-11-06 13:06:35,242 - DISCOVERED | https://www.duoc.cl/calendario-academico/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 1
2025-11-06 13:06:36,756 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,756 - DISCOVERED | https://www.duoc.cl/escuela/diseno/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,756 - DISCOVERED | https://www.duoc.cl/proyectos-servicios/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,757 - DISCOVERED | https://www.duoc.cl/contacto/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,757 - DISCOVERED | https://www.duoc.cl/alumnos/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,757 - DISCOVERED | https://www.duoc.cl/unete-a-nuestro-equipo/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,757 - DISCOVERED | https://www.duoc.cl/escuela/turismo/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,757 - DISCOVERED | https://www.duoc.cl/oferta-academica/carreras/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,759 - DISCOVERED | https://www.duoc.cl/vida-estudiantil | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,759 - DISCOVERED | https://www.duoc.cl/nosotros/donde-estamos/sedes/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,759 - DISCOVERED | https://www.duoc.cl/nosotros/donde-estamos/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,759 - DISCOVERED | https://www.duoc.cl/sala-de-prensa/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,759 - DISCOVERED | https://www.duoc.cl/nosotros/vinculacionconelmedio/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,759 - DISCOVERED | https://www.duoc.cl/nosotros/investigacion-aplicada/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
